ID;ST;TT;Language_pair;Genre;Modality;CS;ErrorPoints;Kudos;CI_GPT;CI_Human
ENNL_P_HT;EN;NL;ENNL;Poem;HT;8;15;0;24,6628131;50
ENNL_P_PE;EN;NL;ENNL;Poem;PE;7;12;0;22,23025;31,02119461
ENNL_P_MT;EN;NL;ENNL;Poem;MT;7;20;0;17,60597;-6,334296724
ENNL_SS_HT;EN;NL;ENNL;ShortStory;HT;7;26;0;16,75057;79,9771167
ENNL_SS_PE;EN;NL;ENNL;ShortStory;PE;7;21;0;19,38215;42,42562929
ENNL_SS_MT;EN;NL;ENNL;ShortStory;MT;1;20;0;-6,17849;-48,14645309
ENNL_T_HT;EN;NL;ENNL;Thriller;HT;8;20;0;27,01299;56,75324675
ENNL_T_PE;EN;NL;ENNL;Thriller;PE;7;17;0;23,96104;13,31168831
ENNL_T_MT;EN;NL;ENNL;Thriller;MT;7;33;0;13,57143;6,818181818
RUNL_P_HT;RU;NL;RUNL;Poem;HT;8;43;0;-11,4343;44,72727273
RUNL_P_PE;RU;NL;RUNL;Poem;PE;10;92;0;-52,9293;40,76767677
RUNL_P_MT;RU;NL;RUNL;Poem;MT;13;78;0;-26,7879;-149,778
RUNL_SS_HT;RU;NL;RUNL;ShortStory;HT;2;22;0;3,00207;82,71221532
RUNL_SS_PE;RU;NL;RUNL;ShortStory;PE;3;16;0;15,06211;48,39544513
RUNL_SS_MT;RU;NL;RUNL;ShortStory;MT;3;22;0;11,3354;15,0621118
RUNL_T_HT;RU;NL;RUNL;Thriller;HT;4;17;0;12,27113;52,86326451
RUNL_T_PE;RU;NL;RUNL;Thriller;PE;7;25;0;24,62018;7,55746007
RUNL_T_MT;RU;NL;RUNL;Thriller;MT;9;32;0;31,74912;-17,53019088
ENCA_P_HT;EN;CA;ENCA;Poem;HT;11;33;0;26,75819;45,95375723
ENCA_P_PE;EN;CA;ENCA;Poem;PE;11;36;0;25,02408;35,30828516
ENCA_P_MT;EN;CA;ENCA;Poem;MT;7;29;0;12,40366;4,190751445
ENCA_SS_HT;EN;CA;ENCA;ShortStory;HT;5;34;0;3,844394;30,43478261
ENCA_SS_PE;EN;CA;ENCA;ShortStory;PE;3;10;0;7,78032;4,09610984
ENCA_SS_MT;EN;CA;ENCA;ShortStory;MT;1;12;0;-1,96796;-56,1784897
ENCA_T_HT;EN;CA;ENCA;Thriller;HT;6;18;0;18,31169;13,7012987
ENCA_T_PE;EN;CA;ENCA;Thriller;PE;3;20;0;2,012987;6,103896104
ENCA_T_MT;EN;CA;ENCA;Thriller;MT;7;12;0;27,20779;-42,85714286
